Kirjauspäivä;määrä;Maksaja;Maksunsaaja;Nimi;Otsikko;Viitenumero;Valuutta;
2020/01/01;1600,00;;FI19 2061 2000 1344 19;;Supercell;;EUR;
2020/01/03;-600,00;FI19 2061 2000 1344 19;;;Helsingin kaupunki;;EUR;
2020/01/07;-90,66;FI19 2061 2000 1344 19;;;Veikkaus;;EUR;
2020/01/10;-196,59;FI19 2061 2000 1344 19;;;SUPERMARKET;;EUR;
2020/01/13;-182,52;FI19 2061 2000 1344 19;;;ALEPA Espoo;;EUR;
2020/01/15;-27,16;FI19 2061 2000 1344 19;;;ALEPA Helsinki;;EUR;
2020/01/20;50,00;;FI19 2061 2000 1344 19;;Veikkaus;;EUR;
2020/02/01;1600,00;;FI19 2061 2000 1344 19;;Supercell;;EUR;
2020/02/04;-600,00;FI19 2061 2000 1344 19;;;Helsingin kaupunki;;EUR;
2020/02/07;-32,00;FI19 2061 2000 1344 19;;;ALEPA Espoo;;EUR;
2020/02/10;-85,00;FI19 2061 2000 1344 19;;;Teboil Helsinki;;EUR;
2020/02/15;-75,30;FI19 2061 2000 1344 19;;;SUPERMARKET;;EUR;
2020/02/20;25,00;;FI19 2061 2000 1344 19;;Veikkaus;;EUR;
2020/03/01;1600,00;;FI19 2061 2000 1344 19;;Supercell;;EUR;
2020/03/05;-600,00;FI19 2061 2000 1344 19;;;Helsingin kaupunki;;EUR;
2020/03/07;-125,00;FI19 2061 2000 1344 19;;;ALEPA Helsinki;;EUR;
2020/03/10;-90,00;FI19 2061 2000 1344 19;;;Teboil Espoo;;EUR;
2020/03/15;-56,00;FI19 2061 2000 1344 19;;;SUPERMARKET;;EUR;
2020/03/18;30,00;;FI19 2061 2000 1344 19;;Veikkaus;;EUR;
2020/04/01;1600,00;;FI19 2061 2000 1344 19;;Supercell;;EUR;
2020/04/05;-600,00;FI19 2061 2000 1344 19;;;Helsingin kaupunki;;EUR;
2020/04/07;-45,20;FI19 2061 2000 1344 19;;;ALEPA Espoo;;EUR;
